fcc hcp ico 
0.175691 0.133322 0.240089 
0.2078 0.136917 0.256493 
0.201703 0.150081 0.248179 
0.187805 0.133603 0.236919 
0.21213 0.147783 0.254872 
0.179823 0.135178 0.220243 
0.21067 0.151622 0.259995 
0.190809 0.11775 0.254841 
0.221474 0.161951 0.271139 
0.188111 0.129011 0.244611 
0.180937 0.138145 0.230085 
0.176194 0.136778 0.207786 
0.202721 0.135544 0.260639 
0.21262 0.149382 0.267145 
0.223271 0.161123 0.270008 
0.188237 0.123926 0.244506 
0.17287 0.137063 0.210849 
0.185673 0.14109 0.227526 
0.222582 0.165814 0.270022 
0.163495 0.147503 0.171001 
0.15992 0.146953 0.19309 
0.235714 0.170064 0.296855 
0.179173 0.142375 0.238331 
0.19419 0.137279 0.238859 
0.201077 0.135157 0.260301 
0.18942 0.147082 0.22486 
0.193147 0.150844 0.244027 
0.204469 0.148947 0.251755 
0.199326 0.145515 0.248871 
0.216636 0.162493 0.256455 
0.196261 0.142764 0.258431 
0.229196 0.166406 0.287415 
0.17771 0.148659 0.202806 
0.195796 0.134309 0.250233 
0.196691 0.129108 0.245852 
0.167321 0.108232 0.23056 
0.186578 0.139437 0.233841 
0.158702 0.115964 0.233208 
0.150202 0.140837 0.196507 
0.162363 0.0815152 0.241491 
0.159329 0.132255 0.202189 
0.174588 0.125643 0.215878 
0.175662 0.145628 0.20172 
0.200364 0.130176 0.26477 
0.202264 0.146405 0.255919 
0.201299 0.137756 0.255735 
0.189446 0.130898 0.241435 
0.215886 0.157979 0.264344 
0.182737 0.140696 0.229251 
0.20466 0.145041 0.257637 
0.206447 0.164133 0.25337 
0.22579 0.163836 0.276417 
0.176448 0.127147 0.230059 
0.232546 0.16169 0.294044 
0.169521 0.117958 0.211498 
0.209549 0.142944 0.259303 
0.192317 0.122469 0.256888 
0.206755 0.143928 0.242618 
0.151343 0.127734 0.221733 
0.213504 0.161209 0.27083 
0.165263 0.112922 0.218754 
0.204825 0.144246 0.242587 
0.205068 0.142836 0.264636 
0.168787 0.120968 0.223301 
0.199436 0.139088 0.249559 
0.206996 0.149506 0.254585 
0.184193 0.124903 0.241896 
0.230362 0.165035 0.292447 
0.190778 0.145714 0.238381 
0.234107 0.172787 0.289236 
0.182526 0.142915 0.208898 
0.225126 0.164458 0.282679 
0.151923 0.13773 0.206953 
0.165975 0.129266 0.213327 
0.207371 0.141418 0.263243 
0.205953 0.14226 0.251229 
0.174579 0.128761 0.222276 
0.22705 0.165179 0.274664 
0.180812 0.146492 0.241251 
0.230789 0.166333 0.275641 
0.20901 0.156175 0.265056 
0.18811 0.136874 0.232143 
0.171147 0.146428 0.1949 
0.182611 0.145776 0.225534 
0.233012 0.174615 0.280546 
0.190674 0.142134 0.25151 
0.170755 0.135978 0.223695 
0.225329 0.163077 0.275915 
0.163344 0.116687 0.230368 
0.219081 0.160334 0.272232 
0.179189 0.127793 0.233323 
0.182905 0.149431 0.220366 
0.171787 0.124589 0.234136 
0.198219 0.142676 0.256494 
0.168787 0.0730872 0.245516 
0.218662 0.161882 0.266946 
0.176431 0.139973 0.231581 
0.182236 0.142764 0.21361 
0.210974 0.15023 0.248433 
0.202342 0.15094 0.24603 
0.177722 0.145907 0.205514 
0.21202 0.143387 0.272354 
0.154835 0.123836 0.211953 
0.198297 0.143759 0.245347 
0.230626 0.1681 0.292224 
0.207629 0.144697 0.262281 
0.17839 0.130777 0.217243 
0.168936 0.081224 0.245586 
0.209753 0.153737 0.276015 
0.176091 0.151945 0.219996 
0.162395 0.130036 0.213332 
0.209255 0.153869 0.274263 
0.185515 0.134175 0.242466 
0.21201 0.153531 0.267195 
0.174918 0.135222 0.220664 
0.184319 0.129413 0.213802 
0.193679 0.127933 0.242202 
0.227494 0.169076 0.283151 
0.19625 0.144384 0.252553 
0.225336 0.160921 0.27859 
0.197227 0.152149 0.233287 
0.208532 0.14925 0.254159 
0.162176 0.149131 0.220633 
0.178366 0.139111 0.215764 
0.19406 0.137457 0.258153 
0.22178 0.158469 0.275107 
0.137177 0.139884 0.184767 
0.171821 0.143325 0.2342 
0.199084 0.143257 0.25717 
0.186482 0.130546 0.241154 
0.216274 0.156234 0.266497 
0.200068 0.14344 0.259029 
0.207882 0.146556 0.261416 
0.205743 0.135633 0.269369 
0.175407 0.131029 0.229932 
0.211135 0.151792 0.25653 
0.151307 0.139336 0.191618 
0.219585 0.164704 0.277003 
0.207683 0.137732 0.26763 
0.197006 0.144362 0.241745 
0.169222 0.144782 0.229178 
0.231219 0.162081 0.299367 
0.208879 0.135789 0.277973 
0.213893 0.152238 0.270705 
0.193253 0.117304 0.233466 
0.186737 0.139096 0.223376 
0.177038 0.124259 0.228499 
0.244024 0.184929 0.300084 
0.219474 0.161448 0.276018 
0.185123 0.136842 0.239728 
0.190302 0.137767 0.237243 
0.199172 0.136752 0.252666 
0.220825 0.157696 0.285414 
0.129342 0.115297 0.209494 
0.210225 0.145387 0.265956 
0.197325 0.145261 0.242926 
0.180004 0.124642 0.219442 
0.190153 0.121124 0.231853 
0.178469 0.144824 0.205431 
0.208577 0.148142 0.253428 
0.222941 0.168455 0.282987 
0.167861 0.141725 0.207411 
0.208972 0.147138 0.25888 
0.216588 0.159129 0.275549 
0.18099 0.123864 0.254919 
0.196307 0.129711 0.260791 
0.221476 0.162204 0.270921 
0.213605 0.150041 0.255226 
0.214681 0.15758 0.272854 
0.189813 0.130612 0.242827 
0.226694 0.17084 0.278322 
0.193256 0.132645 0.24406 
0.197715 0.145666 0.236547 
0.188623 0.14347 0.227267 
0.195399 0.135072 0.248409 
0.186489 0.123717 0.239896 
0.183452 0.14934 0.229403 
0.221988 0.158287 0.280772 
0.211171 0.157722 0.252384 
0.166514 0.116211 0.235938 
0.186198 0.133425 0.245083 
0.202915 0.152242 0.242599 
0.191803 0.138133 0.233524 
0.210982 0.156807 0.257385 
0.221015 0.161677 0.273929 
0.213048 0.156772 0.273658 
0.232951 0.17443 0.281977 
0.212878 0.149844 0.267001 
0.250679 0.18941 0.311523 
0.166887 0.136989 0.210191 
0.1604 0.139748 0.216588 
0.219715 0.155522 0.268846 
0.171125 0.103132 0.235617 
0.167195 0.131475 0.202378 
0.179635 0.136046 0.212583 
0.179582 0.127589 0.233879 
0.207855 0.153615 0.259675 
0.148508 0.131863 0.204208 
0.191505 0.144416 0.224027 
0.182199 0.135973 0.221745 
0.179984 0.14326 0.227491 
0.215643 0.155557 0.266756 
0.194612 0.126575 0.255339 
0.212047 0.146225 0.274021 
0.180892 0.117126 0.235752 
0.177648 0.128044 0.229206 
0.20579 0.142081 0.265241 
0.198397 0.13769 0.238362 
0.18748 0.135627 0.238102 
0.225145 0.160896 0.2794 
0.167277 0.127489 0.207075 
0.206731 0.154912 0.261959 
0.224942 0.15734 0.280943 
0.172456 0.0973418 0.245261 
0.165814 0.140221 0.22444 
0.207347 0.148949 0.244869 
0.190805 0.138956 0.253499 
0.220619 0.167495 0.279133 
0.164806 0.133691 0.223838 
0.186974 0.13241 0.215956 
0.189047 0.143022 0.230753 
0.190472 0.133599 0.245286 
0.181286 0.150494 0.22723 
0.222532 0.16515 0.280642 
0.186283 0.116626 0.252173 
0.201067 0.145233 0.257626 
0.193567 0.127368 0.247701 
0.220952 0.16775 0.268575 
0.216609 0.165144 0.275404 
0.189775 0.134136 0.238677 
0.182074 0.128364 0.230506 
0.231436 0.171175 0.281978 
0.204915 0.141804 0.262335 
0.178387 0.134223 0.210831 
0.229438 0.173942 0.285517 
0.197795 0.140415 0.250071 
0.181749 0.123636 0.233998 
0.214901 0.150664 0.256649 
0.19484 0.132104 0.259013 
0.172817 0.136867 0.228333 
0.183137 0.136251 0.214072 
0.22539 0.160807 0.279631 
0.196106 0.12183 0.254254 
0.180976 0.128027 0.241661 
0.180867 0.121507 0.237376 
0.217673 0.160415 0.262491 
0.178699 0.122302 0.246085 
0.21237 0.155363 0.261467 
0.206698 0.153186 0.262908 
0.164595 0.141782 0.205405 
0.209468 0.137231 0.266098 
0.176233 0.119982 0.227284 
0.213591 0.147834 0.26847 
0.172646 0.143001 0.213173 
0.219369 0.160007 0.279132 
0.206759 0.146967 0.264878 
0.216607 0.152941 0.278891 
0.183602 0.134121 0.222261 
0.174474 0.0907553 0.245931 
0.181931 0.128082 0.250103 
0.212431 0.147036 0.264585 
0.209025 0.145987 0.260443 
0.223054 0.167235 0.283884 
0.208635 0.144467 0.265895 
0.197282 0.140228 0.233208 
0.162931 0.117387 0.223674 
0.183093 0.127947 0.229473 
0.182477 0.141789 0.221417 
0.169182 0.116571 0.225057 
0.202751 0.147153 0.254687 
0.207405 0.163799 0.240487 
0.229193 0.176603 0.270864 
0.19162 0.141267 0.233153 
0.226398 0.166397 0.28705 
0.193213 0.134784 0.241744 
0.169631 0.0949153 0.248747 
0.226998 0.163537 0.27871 
0.17399 0.135747 0.217002 
0.199663 0.141844 0.236879 
0.200164 0.135293 0.253746 
0.175301 0.106633 0.227669 
0.18719 0.140357 0.220772 
0.185926 0.12274 0.248649 
0.202741 0.146995 0.257477 
0.191224 0.150992 0.241885 
0.201053 0.158562 0.232441 
0.182449 0.135255 0.224185 
0.230337 0.167806 0.287602 
0.175881 0.126579 0.225691 
0.175663 0.134375 0.22003 
0.212588 0.159581 0.261612 
0.184945 0.129023 0.240541 
0.161688 0.096109 0.232442 
0.200771 0.153474 0.249893 
0.235475 0.168553 0.292519 
0.206212 0.153707 0.257471 
0.201722 0.137822 0.261308 
0.172765 0.143378 0.210655 
0.17801 0.137806 0.221805 
0.194055 0.138472 0.242523 
